datetime,Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI,Underlying Value
2022-10-17 09:15:59,NIFTY,17NOV22,17950,PE,2022-10-17,09:15:59,218.2,218.2,218.2,218.2,0,0,17189.75
2022-10-17 09:16:59,NIFTY,17NOV22,17950,PE,2022-10-17,09:16:59,218.2,218.2,218.2,218.2,0,0,17195.2
2022-10-17 09:17:59,NIFTY,17NOV22,17950,PE,2022-10-17,09:17:59,218.2,218.2,218.2,218.2,0,0,17168.15
2022-10-17 09:18:59,NIFTY,17NOV22,17950,PE,2022-10-17,09:18:59,218.2,218.2,218.2,218.2,0,0,17143.45
2022-10-17 09:19:59,NIFTY,17NOV22,17950,PE,2022-10-17,09:19:59,218.2,218.2,218.2,218.2,0,0,17146.55
2022-10-17 09:20:59,NIFTY,17NOV22,17950,PE,2022-10-17,09:20:59,218.2,218.2,218.2,218.2,0,0,17155.85
2022-10-17 09:21:59,NIFTY,17NOV22,17950,PE,2022-10-17,09:21:59,218.2,218.2,218.2,218.2,0,0,17162.25
2022-10-17 09:22:59,NIFTY,17NOV22,17950,PE,2022-10-17,09:22:59,218.2,218.2,218.2,218.2,0,0,17154.85
2022-10-17 09:23:59,NIFTY,17NOV22,17950,PE,2022-10-17,09:23:59,218.2,218.2,218.2,218.2,0,0,17156.75
2022-10-17 09:24:59,NIFTY,17NOV22,17950,PE,2022-10-17,09:24:59,218.2,218.2,218.2,218.2,0,0,17167.65
2022-10-17 09:25:59,NIFTY,17NOV22,17950,PE,2022-10-17,09:25:59,218.2,218.2,218.2,218.2,0,0,17155.4
2022-10-17 09:26:59,NIFTY,17NOV22,17950,PE,2022-10-17,09:26:59,218.2,218.2,218.2,218.2,0,0,17153.15
2022-10-17 09:27:59,NIFTY,17NOV22,17950,PE,2022-10-17,09:27:59,218.2,218.2,218.2,218.2,0,0,17143.8
2022-10-17 09:28:59,NIFTY,17NOV22,17950,PE,2022-10-17,09:28:59,218.2,218.2,218.2,218.2,0,0,17130.8
2022-10-17 09:29:59,NIFTY,17NOV22,17950,PE,2022-10-17,09:29:59,218.2,218.2,218.2,218.2,0,0,17125.4
2022-10-17 09:30:59,NIFTY,17NOV22,17950,PE,2022-10-17,09:30:59,218.2,218.2,218.2,218.2,0,0,17107.95
2022-10-17 09:31:59,NIFTY,17NOV22,17950,PE,2022-10-17,09:31:59,218.2,218.2,218.2,218.2,0,0,17100.55
2022-10-17 09:32:59,NIFTY,17NOV22,17950,PE,2022-10-17,09:32:59,218.2,218.2,218.2,218.2,0,0,17108.5
